i,v
4.4e-06,0.0003
7.7e-05,0.0097
0.000127,0.0162
0.000261,0.0334
0.000321,0.0412
0.000407,0.0523
0.00067,0.0857
0.00096,0.1237
0.0012,0.1555
0.0024,0.307
0.004200000000000001,0.537
0.0074,0.95
0.0092,1.186
0.0111,1.418
0.011800000000000001,1.506
0.0135,1.712
