ei,v,i
7,3.65,0.00365
9,5.02,0.005019999999999999
10,5.85,0.005849999999999999
11,6.73,0.006730000000000001
12,7.75,0.00775
12.5,8.12,0.008119999999999999
13,8.2,0.008199999999999999
15,8.3,0.0083
