ei,v,i
5,2.07,0.004404255319148936
6,2.5,0.005319148936170213
7,2.95,0.006276595744680851
8,3.7,0.007872340425531916
8.5,3.95,0.008404255319148936
9,3.99,0.00848936170212766
9.5,4.0,0.00851063829787234
10,4.01,0.00853191489361702
12,4.07,0.008659574468085107
14,4.1,0.008723404255319148
15,4.11,0.00874468085106383
