ei,v,i
3,0.23,0.004893617021276596
4,0.32,0.006808510638297872
5,0.36,0.007659574468085106
5.5,0.38,0.008085106382978723
6,0.39,0.008297872340425533
7,0.4,0.00851063829787234
8,0.41,0.008723404255319148
9,0.41,0.008723404255319148
11,0.42,0.008936170212765958
12,0.42,0.008936170212765958
