ei,v,i
6,3.7,0.001681818181818182
8,5,0.0022727272727272726
10,6.3,0.0028636363636363633
12,8.0,0.0036363636363636364
13,8.9,0.004045454545454546
14,9.8,0.004454545454545455
15,10.85,0.004931818181818181
16,11.6,0.005272727272727273
