i,v
-0.0024500000000000004,0.247
-0.0021000000000000003,0.254
-0.0019,0.258
-0.0016,0.266
-0.0014,0.271
-0.0011,0.277
-0.00091,0.281
-0.0007,0.286
-0.0005,0.292
-0.00026,0.298
0,0.322
