second,Volt
-9.068800E-03,-8.040201187E+00
-9.060400E-03,-7.160804182E+00
-9.052000E-03,-8.040201187E+00
-9.043600E-03,-6.030150890E+00
-9.035200E-03,-6.030150890E+00
-9.026800E-03,-6.783919752E+00
-9.018400E-03,-6.783919752E+00
-9.010000E-03,-6.030150890E+00
-9.001600E-03,-7.160804182E+00
-8.993200E-03,-7.160804182E+00
-8.984800E-03,-7.160804182E+00
-8.976400E-03,-6.783919752E+00
-8.968000E-03,-6.783919752E+00
-8.959600E-03,-6.783919752E+00
-8.951200E-03,-6.030150890E+00
-8.942800E-03,-7.160804182E+00
-8.934400E-03,-6.030150890E+00
-8.926000E-03,-6.030150890E+00
-8.917600E-03,-6.783919752E+00
-8.909200E-03,-6.783919752E+00
-8.900800E-03,-6.030150890E+00
-8.892400E-03,-6.783919752E+00
-8.884000E-03,-6.030150890E+00
-8.875600E-03,-6.783919752E+00
-8.867200E-03,-6.030150890E+00
-8.858800E-03,-6.030150890E+00
-8.850400E-03,-6.030150890E+00
-8.842000E-03,-6.030150890E+00
-8.833600E-03,-6.030150890E+00
-8.825200E-03,-6.030150890E+00
-8.816800E-03,-6.030150890E+00
-8.808400E-03,-6.030150890E+00
-8.800000E-03,-6.030150890E+00
-8.791600E-03,-6.030150890E+00
-8.783200E-03,-6.030150890E+00
-8.774800E-03,-6.030150890E+00
-8.766400E-03,-6.030150890E+00
-8.758000E-03,-6.030150890E+00
-8.749600E-03,-6.030150890E+00
-8.741200E-03,-6.030150890E+00
-8.732800E-03,-6.030150890E+00
-8.724400E-03,-6.030150890E+00
-8.716000E-03,-6.030150890E+00
-8.707600E-03,-6.030150890E+00
-8.699200E-03,-6.030150890E+00
-8.690800E-03,-6.030150890E+00
-8.682400E-03,-6.030150890E+00
-8.674000E-03,-6.030150890E+00
-8.665600E-03,-6.030150890E+00
-8.657200E-03,-6.030150890E+00
-8.648800E-03,-6.030150890E+00
-8.640400E-03,-4.773869455E+00
-8.632000E-03,-6.030150890E+00
-8.623600E-03,-6.030150890E+00
-8.615200E-03,-6.030150890E+00
-8.606800E-03,-6.030150890E+00
-8.598400E-03,-6.030150890E+00
-8.590000E-03,-6.030150890E+00
-8.581600E-03,-6.030150890E+00
-8.573200E-03,-6.030150890E+00
-8.564800E-03,-6.030150890E+00
-8.556400E-03,-6.030150890E+00
-8.548000E-03,-6.030150890E+00
-8.539600E-03,-6.030150890E+00
-8.531200E-03,-6.030150890E+00
-8.522800E-03,-6.030150890E+00
-8.514400E-03,-6.030150890E+00
-8.506000E-03,-6.030150890E+00
-8.497600E-03,-6.030150890E+00
-8.489200E-03,-6.030150890E+00
-8.480800E-03,-6.030150890E+00
-8.472400E-03,-6.030150890E+00
-8.464000E-03,-6.030150890E+00
-8.455600E-03,-6.030150890E+00
-8.447200E-03,-6.030150890E+00
-8.438800E-03,-6.030150890E+00
-8.430400E-03,-6.783919752E+00
-8.422000E-03,-6.030150890E+00
-8.413600E-03,-6.783919752E+00
-8.405200E-03,-6.030150890E+00
-8.396800E-03,-7.160804182E+00
-8.388400E-03,-6.783919752E+00
-8.380000E-03,-8.040201187E+00
-8.371600E-03,-8.040201187E+00
-8.363200E-03,-8.040201187E+00
-8.354800E-03,-8.040201187E+00
-8.346400E-03,-7.160804182E+00
-8.338000E-03,-6.783919752E+00
-8.329600E-03,-12.814070642E+00
-8.321200E-03,-92.462313652E+00
-8.312800E-03,-98.492464542E+00
-8.304400E-03,-101.256283700E+00
-8.296000E-03,-101.633168131E+00
-8.287600E-03,-102.512565136E+00
-8.279200E-03,-102.512565136E+00
-8.270800E-03,-104.522615433E+00
-8.262400E-03,-104.522615433E+00
-8.254000E-03,-104.522615433E+00
-8.245600E-03,-104.522615433E+00
-8.237200E-03,-105.276384294E+00
