second,Volt
-13.240400E-03,-4.020100594E+00
-13.232000E-03,-4.020100594E+00
-13.223600E-03,-4.020100594E+00
-13.215200E-03,-4.020100594E+00
-13.206800E-03,-4.020100594E+00
-13.198400E-03,-4.020100594E+00
-13.190000E-03,-4.020100594E+00
-13.181600E-03,-4.020100594E+00
-13.173200E-03,-4.020100594E+00
-13.164800E-03,-4.020100594E+00
-13.156400E-03,-4.020100594E+00
-13.148000E-03,-4.020100594E+00
-13.139600E-03,-4.020100594E+00
-13.131200E-03,-4.020100594E+00
-13.122800E-03,-4.020100594E+00
-13.114400E-03,-4.020100594E+00
-13.106000E-03,-4.020100594E+00
-13.097600E-03,-4.020100594E+00
-13.089200E-03,-4.020100594E+00
-13.080800E-03,-4.020100594E+00
-13.072400E-03,-4.020100594E+00
-13.064000E-03,-4.020100594E+00
-13.055600E-03,-4.020100594E+00
-13.047200E-03,-4.020100594E+00
-13.038800E-03,-4.020100594E+00
-13.030400E-03,-4.020100594E+00
-13.022000E-03,-4.020100594E+00
-13.013600E-03,-4.020100594E+00
-13.005200E-03,-4.020100594E+00
-12.996800E-03,-4.020100594E+00
-12.988400E-03,-4.020100594E+00
-12.980000E-03,-4.020100594E+00
-12.971600E-03,-4.020100594E+00
-12.963200E-03,-4.020100594E+00
-12.954800E-03,-4.020100594E+00
-12.946400E-03,-4.020100594E+00
-12.938000E-03,-3.517588019E+00
-12.929600E-03,-4.020100594E+00
-12.921200E-03,-4.020100594E+00
-12.912800E-03,-4.020100594E+00
-12.904400E-03,-4.020100594E+00
-12.896000E-03,-4.020100594E+00
-12.887600E-03,-4.020100594E+00
-12.879200E-03,-4.020100594E+00
-12.870800E-03,-4.020100594E+00
-12.862400E-03,-4.020100594E+00
-12.854000E-03,-4.020100594E+00
-12.845600E-03,-4.020100594E+00
-12.837200E-03,-4.020100594E+00
-12.828800E-03,-4.020100594E+00
-12.820400E-03,-4.020100594E+00
-12.812000E-03,-4.020100594E+00
-12.803600E-03,-4.020100594E+00
-12.795200E-03,-4.020100594E+00
-12.786800E-03,-4.020100594E+00
-12.778400E-03,-4.020100594E+00
-12.770000E-03,-4.020100594E+00
-12.761600E-03,-4.020100594E+00
-12.753200E-03,-4.020100594E+00
-12.744800E-03,-4.020100594E+00
-12.736400E-03,-4.020100594E+00
-12.728000E-03,-4.020100594E+00
-12.719600E-03,-4.020100594E+00
-12.711200E-03,-4.020100594E+00
-12.702800E-03,-4.020100594E+00
-12.694400E-03,-4.020100594E+00
-12.686000E-03,-5.527638316E+00
-12.677600E-03,-4.020100594E+00
-12.669200E-03,-4.020100594E+00
-12.660800E-03,-4.020100594E+00
-12.652400E-03,-4.020100594E+00
-12.644000E-03,-4.020100594E+00
-12.635600E-03,-4.020100594E+00
-12.627200E-03,-4.020100594E+00
-12.618800E-03,-4.020100594E+00
-12.610400E-03,-4.020100594E+00
-12.602000E-03,-4.020100594E+00
-12.593600E-03,-4.020100594E+00
-12.585200E-03,-4.020100594E+00
-12.576800E-03,-4.020100594E+00
-12.568400E-03,-4.020100594E+00
-12.560000E-03,-4.020100594E+00
-12.551600E-03,-4.020100594E+00
-12.543200E-03,-4.020100594E+00
-12.534800E-03,-4.020100594E+00
-12.526400E-03,-5.527638316E+00
-12.518000E-03,-4.020100594E+00
-12.509600E-03,-4.020100594E+00
-12.501200E-03,-5.527638316E+00
-12.492800E-03,-4.020100594E+00
-12.484400E-03,-4.020100594E+00
-12.476000E-03,-4.020100594E+00
-12.467600E-03,-4.020100594E+00
-12.459200E-03,-4.020100594E+00
-12.450800E-03,-4.020100594E+00
-12.442400E-03,-4.020100594E+00
-12.434000E-03,-4.020100594E+00
-12.425600E-03,-4.020100594E+00
-12.417200E-03,-4.020100594E+00
-12.408800E-03,-4.020100594E+00
-12.400400E-03,-4.020100594E+00
-12.392000E-03,-4.020100594E+00
-12.383600E-03,-4.020100594E+00
-12.375200E-03,-4.020100594E+00
-12.366800E-03,-4.020100594E+00
-12.358400E-03,-4.020100594E+00
-12.350000E-03,-4.020100594E+00
-12.341600E-03,-4.020100594E+00
-12.333200E-03,-4.020100594E+00
-12.324800E-03,-4.020100594E+00
-12.316400E-03,-4.020100594E+00
-12.308000E-03,-4.020100594E+00
-12.299600E-03,-4.020100594E+00
-12.291200E-03,-4.020100594E+00
-12.282800E-03,-4.020100594E+00
-12.274400E-03,-4.020100594E+00
-12.266000E-03,-4.020100594E+00
-12.257600E-03,-4.020100594E+00
-12.249200E-03,-4.020100594E+00
-12.240800E-03,-4.020100594E+00
-12.232400E-03,-4.020100594E+00
-12.224000E-03,-4.020100594E+00
-12.215600E-03,-3.517588019E+00
-12.207200E-03,-4.020100594E+00
-12.198800E-03,-4.020100594E+00
-12.190400E-03,-4.020100594E+00
-12.182000E-03,-4.020100594E+00
-12.173600E-03,-4.020100594E+00
-12.165200E-03,-4.020100594E+00
-12.156800E-03,-4.020100594E+00
-12.148400E-03,-4.020100594E+00
-12.140000E-03,-4.020100594E+00
-12.131600E-03,-4.020100594E+00
-12.123200E-03,-4.020100594E+00
-12.114800E-03,-4.020100594E+00
-12.106400E-03,-4.020100594E+00
-12.098000E-03,-4.020100594E+00
-12.089600E-03,-4.020100594E+00
-12.081200E-03,-4.020100594E+00
-12.072800E-03,-4.020100594E+00
-12.064400E-03,-4.020100594E+00
-12.056000E-03,-4.020100594E+00
-12.047600E-03,-4.020100594E+00
-12.039200E-03,-2.386934727E+00
-12.030800E-03,-4.020100594E+00
-12.022400E-03,-4.020100594E+00
-12.014000E-03,-4.020100594E+00
-12.005600E-03,-4.020100594E+00
-11.997200E-03,-4.020100594E+00
-11.988800E-03,-4.020100594E+00
-11.980400E-03,-2.386934727E+00
-11.972000E-03,-4.020100594E+00
-11.963600E-03,-4.020100594E+00
-11.955200E-03,-4.020100594E+00
-11.946800E-03,-4.020100594E+00
-11.938400E-03,-4.020100594E+00
-11.930000E-03,-4.020100594E+00
-11.921600E-03,-4.020100594E+00
-11.913200E-03,-4.020100594E+00
-11.904800E-03,-4.020100594E+00
-11.896400E-03,-4.020100594E+00
-11.888000E-03,-4.020100594E+00
-11.879600E-03,-4.020100594E+00
-11.871200E-03,-4.020100594E+00
-11.862800E-03,-2.386934727E+00
-11.854400E-03,-4.020100594E+00
-11.846000E-03,-4.020100594E+00
-11.837600E-03,-4.020100594E+00
-11.829200E-03,-4.020100594E+00
-11.820800E-03,-4.020100594E+00
-11.812400E-03,-4.020100594E+00
-11.804000E-03,-4.020100594E+00
-11.795600E-03,-4.020100594E+00
-11.787200E-03,-4.020100594E+00
-11.778800E-03,-4.020100594E+00
-11.770400E-03,-4.020100594E+00
-11.762000E-03,-4.020100594E+00
-11.753600E-03,-4.020100594E+00
-11.745200E-03,-4.020100594E+00
-11.736800E-03,-4.020100594E+00
-11.728400E-03,-4.020100594E+00
-11.720000E-03,-4.020100594E+00
-11.711600E-03,-4.020100594E+00
-11.703200E-03,-4.020100594E+00
-11.694800E-03,-4.020100594E+00
-11.686400E-03,-4.020100594E+00
-11.678000E-03,-4.020100594E+00
-11.669600E-03,-4.020100594E+00
-11.661200E-03,-4.020100594E+00
-11.652800E-03,-4.020100594E+00
-11.644400E-03,-4.020100594E+00
-11.636000E-03,-4.020100594E+00
-11.627600E-03,-4.020100594E+00
-11.619200E-03,-4.020100594E+00
-11.610800E-03,-4.020100594E+00
-11.602400E-03,-4.020100594E+00
-11.594000E-03,-4.020100594E+00
-11.585600E-03,-4.020100594E+00
-11.577200E-03,-4.020100594E+00
-11.568800E-03,-2.386934727E+00
-11.560400E-03,-4.020100594E+00
-11.552000E-03,-4.020100594E+00
-11.543600E-03,-4.020100594E+00
-11.535200E-03,-4.020100594E+00
-11.526800E-03,-4.020100594E+00
-11.518400E-03,-3.517588019E+00
-11.510000E-03,-4.020100594E+00
-11.501600E-03,-2.386934727E+00
-11.493200E-03,-4.020100594E+00
-11.484800E-03,-4.020100594E+00
-11.476400E-03,-3.517588019E+00
-11.468000E-03,-4.020100594E+00
-11.459600E-03,-4.020100594E+00
-11.451200E-03,-4.020100594E+00
-11.442800E-03,-4.020100594E+00
-11.434400E-03,-4.020100594E+00
-11.426000E-03,-4.020100594E+00
-11.417600E-03,-4.020100594E+00
-11.409200E-03,-2.386934727E+00
-11.400800E-03,-4.020100594E+00
-11.392400E-03,-4.020100594E+00
-11.384000E-03,-4.020100594E+00
-11.375600E-03,-4.020100594E+00
-11.367200E-03,-4.020100594E+00
-11.358800E-03,-4.020100594E+00
-11.350400E-03,-4.020100594E+00
-11.342000E-03,-4.020100594E+00
-11.333600E-03,-4.020100594E+00
-11.325200E-03,-4.020100594E+00
-11.316800E-03,-4.020100594E+00
-11.308400E-03,-3.517588019E+00
-11.300000E-03,-4.020100594E+00
-11.291600E-03,-4.020100594E+00
-11.283200E-03,-3.517588019E+00
-11.274800E-03,-2.386934727E+00
-11.266400E-03,-2.386934727E+00
-11.258000E-03,-4.020100594E+00
-11.249600E-03,-4.020100594E+00
-11.241200E-03,-2.386934727E+00
-11.232800E-03,-4.020100594E+00
-11.224400E-03,-2.386934727E+00
-11.216000E-03,-4.020100594E+00
-11.207600E-03,-4.020100594E+00
-11.199200E-03,-3.517588019E+00
-11.190800E-03,-4.020100594E+00
-11.182400E-03,-2.386934727E+00
-11.174000E-03,-3.517588019E+00
-11.165600E-03,-4.020100594E+00
-11.157200E-03,-3.517588019E+00
-11.148800E-03,-3.517588019E+00
-11.140400E-03,-4.020100594E+00
-11.132000E-03,-2.386934727E+00
-11.123600E-03,-3.517588019E+00
-11.115200E-03,-4.020100594E+00
-11.106800E-03,-4.020100594E+00
-11.098400E-03,-3.517588019E+00
-11.090000E-03,-4.020100594E+00
-11.081600E-03,-4.020100594E+00
-11.073200E-03,-2.386934727E+00
-11.064800E-03,-2.386934727E+00
-11.056400E-03,-2.010050297E+00
-11.048000E-03,-4.020100594E+00
-11.039600E-03,-4.020100594E+00
-11.031200E-03,-4.020100594E+00
-11.022800E-03,-4.020100594E+00
-11.014400E-03,-4.020100594E+00
-11.006000E-03,-4.020100594E+00
-10.997600E-03,-4.020100594E+00
-10.989200E-03,-3.517588019E+00
-10.980800E-03,-3.517588019E+00
-10.972400E-03,-4.020100594E+00
-10.964000E-03,-4.020100594E+00
-10.955600E-03,-4.020100594E+00
-10.947200E-03,-3.517588019E+00
-10.938800E-03,-3.517588019E+00
-10.930400E-03,-3.517588019E+00
-10.922000E-03,-4.020100594E+00
-10.913600E-03,-4.020100594E+00
-10.905200E-03,-4.020100594E+00
-10.896800E-03,-4.020100594E+00
-10.888400E-03,-4.020100594E+00
-10.880000E-03,-4.020100594E+00
-10.871600E-03,-4.020100594E+00
-10.863200E-03,-4.020100594E+00
-10.854800E-03,-4.020100594E+00
-10.846400E-03,-2.010050297E+00
-10.838000E-03,-4.020100594E+00
-10.829600E-03,-2.010050297E+00
-10.821200E-03,-2.386934727E+00
-10.812800E-03,-4.020100594E+00
-10.804400E-03,-2.386934727E+00
-10.796000E-03,-2.386934727E+00
-10.787600E-03,-3.517588019E+00
-10.779200E-03,-3.517588019E+00
-10.770800E-03,-4.020100594E+00
-10.762400E-03,-4.020100594E+00
-10.754000E-03,-2.386934727E+00
-10.745600E-03,-2.386934727E+00
-10.737200E-03,-4.020100594E+00
-10.728800E-03,-4.020100594E+00
-10.720400E-03,-4.020100594E+00
-10.712000E-03,-3.517588019E+00
-10.703600E-03,-3.517588019E+00
-10.695200E-03,-3.517588019E+00
-10.686800E-03,-4.020100594E+00
-10.678400E-03,-2.010050297E+00
-10.670000E-03,-3.517588019E+00
-10.661600E-03,-2.386934727E+00
-10.653200E-03,-2.010050297E+00
-10.644800E-03,-2.386934727E+00
-10.636400E-03,-4.020100594E+00
-10.628000E-03,-3.517588019E+00
-10.619600E-03,-2.010050297E+00
-10.611200E-03,-2.386934727E+00
-10.602800E-03,-4.020100594E+00
-10.594400E-03,-4.020100594E+00
-10.586000E-03,-4.020100594E+00
-10.577600E-03,-4.020100594E+00
-10.569200E-03,-2.386934727E+00
-10.560800E-03,-2.010050297E+00
-10.552400E-03,-3.517588019E+00
-10.544000E-03,-4.020100594E+00
-10.535600E-03,-3.517588019E+00
-10.527200E-03,-3.517588019E+00
-10.518800E-03,-3.517588019E+00
-10.510400E-03,-3.517588019E+00
-10.502000E-03,-4.020100594E+00
-10.493600E-03,-4.020100594E+00
-10.485200E-03,-2.010050297E+00
-10.476800E-03,-2.386934727E+00
-10.468400E-03,-4.020100594E+00
-10.460000E-03,-2.010050297E+00
-10.451600E-03,-4.020100594E+00
-10.443200E-03,-3.517588019E+00
-10.434800E-03,-2.010050297E+00
-10.426400E-03,-3.517588019E+00
-10.418000E-03,-2.386934727E+00
-10.409600E-03,-3.517588019E+00
-10.401200E-03,-2.386934727E+00
-10.392800E-03,-2.386934727E+00
-10.384400E-03,-2.010050297E+00
-10.376000E-03,-2.386934727E+00
-10.367600E-03,-2.386934727E+00
-10.359200E-03,-3.517588019E+00
-10.350800E-03,-3.517588019E+00
-10.342400E-03,-3.517588019E+00
-10.334000E-03,-3.517588019E+00
-10.325600E-03,-3.517588019E+00
-10.317200E-03,-4.020100594E+00
-10.308800E-03,-4.020100594E+00
-10.300400E-03,-2.386934727E+00
-10.292000E-03,-4.020100594E+00
-10.283600E-03,-3.517588019E+00
-10.275200E-03,-3.517588019E+00
-10.266800E-03,-2.010050297E+00
-10.258400E-03,-2.010050297E+00
-10.250000E-03,-2.386934727E+00
-10.241600E-03,-2.386934727E+00
-10.233200E-03,-2.386934727E+00
-10.224800E-03,-2.386934727E+00
-10.216400E-03,-3.517588019E+00
-10.208000E-03,-4.020100594E+00
-10.199600E-03,-4.020100594E+00
-10.191200E-03,-3.517588019E+00
-10.182800E-03,-2.386934727E+00
