second,Volt
-13.480000E-03,+2.010050297E+00
-13.471600E-03,+502.512574E-03
-13.463200E-03,+0.0E+00
-13.454800E-03,+0.0E+00
-13.446400E-03,-2.010050297E+00
-13.438000E-03,-2.010050297E+00
-13.429600E-03,-2.010050297E+00
-13.421200E-03,-4.020100594E+00
-13.412800E-03,-4.020100594E+00
-13.404400E-03,-4.020100594E+00
-13.396000E-03,-3.391959876E+00
-13.387600E-03,-4.020100594E+00
-13.379200E-03,-4.020100594E+00
-13.370800E-03,-4.020100594E+00
-13.362400E-03,-4.522613168E+00
-13.354000E-03,-6.030150890E+00
-13.345600E-03,-6.030150890E+00
-13.337200E-03,-6.030150890E+00
-13.328800E-03,-4.522613168E+00
-13.320400E-03,-6.030150890E+00
-13.312000E-03,-6.030150890E+00
-13.303600E-03,-6.030150890E+00
-13.295200E-03,-6.030150890E+00
-13.286800E-03,-6.030150890E+00
-13.278400E-03,-6.030150890E+00
-13.270000E-03,-6.030150890E+00
-13.261600E-03,-6.030150890E+00
-13.253200E-03,-6.030150890E+00
-13.244800E-03,-6.030150890E+00
-13.236400E-03,-6.030150890E+00
-13.228000E-03,-6.030150890E+00
-13.219600E-03,-6.030150890E+00
-13.211200E-03,-6.030150890E+00
-13.202800E-03,-6.030150890E+00
-13.194400E-03,-6.030150890E+00
-13.186000E-03,-6.030150890E+00
-13.177600E-03,-6.030150890E+00
-13.169200E-03,-6.030150890E+00
-13.160800E-03,-6.030150890E+00
-13.152400E-03,-5.402010173E+00
-13.144000E-03,-6.030150890E+00
-13.135600E-03,-6.030150890E+00
-13.127200E-03,-5.402010173E+00
-13.118800E-03,-6.030150890E+00
-13.110400E-03,-6.030150890E+00
-13.102000E-03,-6.030150890E+00
-13.093600E-03,-5.402010173E+00
-13.085200E-03,-4.522613168E+00
-13.076800E-03,-4.522613168E+00
-13.068400E-03,-5.402010173E+00
-13.060000E-03,-6.030150890E+00
-13.051600E-03,-6.030150890E+00
-13.043200E-03,-6.030150890E+00
-13.034800E-03,-6.030150890E+00
-13.026400E-03,-4.522613168E+00
-13.018000E-03,-5.402010173E+00
-13.009600E-03,-4.522613168E+00
-13.001200E-03,-6.030150890E+00
-12.992800E-03,-6.030150890E+00
-12.984400E-03,-6.030150890E+00
-12.976000E-03,-6.030150890E+00
-12.967600E-03,-6.030150890E+00
-12.959200E-03,-4.020100594E+00
-12.950800E-03,-5.402010173E+00
-12.942400E-03,-6.030150890E+00
-12.934000E-03,-5.402010173E+00
-12.925600E-03,-4.522613168E+00
-12.917200E-03,-4.522613168E+00
-12.908800E-03,-6.030150890E+00
-12.900400E-03,-4.020100594E+00
-12.892000E-03,-4.522613168E+00
-12.883600E-03,-5.402010173E+00
-12.875200E-03,-5.402010173E+00
-12.866800E-03,-4.522613168E+00
-12.858400E-03,-4.522613168E+00
-12.850000E-03,-5.402010173E+00
-12.841600E-03,-6.030150890E+00
-12.833200E-03,-6.030150890E+00
-12.824800E-03,-4.522613168E+00
-12.816400E-03,-4.522613168E+00
-12.808000E-03,-6.030150890E+00
-12.799600E-03,-4.020100594E+00
-12.791200E-03,-6.030150890E+00
-12.782800E-03,-6.030150890E+00
-12.774400E-03,-4.522613168E+00
-12.766000E-03,-6.030150890E+00
-12.757600E-03,-6.030150890E+00
-12.749200E-03,-6.030150890E+00
-12.740800E-03,-4.020100594E+00
-12.732400E-03,-6.030150890E+00
-12.724000E-03,-6.030150890E+00
-12.715600E-03,-6.030150890E+00
-12.707200E-03,-6.030150890E+00
-12.698800E-03,-6.030150890E+00
-12.690400E-03,-6.030150890E+00
-12.682000E-03,-6.030150890E+00
-12.673600E-03,-6.030150890E+00
-12.665200E-03,-5.402010173E+00
-12.656800E-03,-6.030150890E+00
-12.648400E-03,-6.030150890E+00
-12.640000E-03,-4.522613168E+00
-12.631600E-03,-6.030150890E+00
-12.623200E-03,-4.522613168E+00
-12.614800E-03,-5.402010173E+00
-12.606400E-03,-4.020100594E+00
-12.598000E-03,-6.030150890E+00
-12.589600E-03,-5.402010173E+00
-12.581200E-03,-5.402010173E+00
-12.572800E-03,-6.030150890E+00
-12.564400E-03,-6.030150890E+00
-12.556000E-03,-5.402010173E+00
-12.547600E-03,-6.030150890E+00
-12.539200E-03,-6.030150890E+00
-12.530800E-03,-6.030150890E+00
-12.522400E-03,-5.402010173E+00
-12.514000E-03,-5.402010173E+00
-12.505600E-03,-6.030150890E+00
-12.497200E-03,-6.030150890E+00
-12.488800E-03,-6.030150890E+00
-12.480400E-03,-6.030150890E+00
-12.472000E-03,-4.522613168E+00
-12.463600E-03,-4.522613168E+00
-12.455200E-03,-6.030150890E+00
-12.446800E-03,-6.030150890E+00
-12.438400E-03,-6.030150890E+00
-12.430000E-03,-6.030150890E+00
-12.421600E-03,-5.402010173E+00
-12.413200E-03,-6.030150890E+00
-12.404800E-03,-6.030150890E+00
-12.396400E-03,-6.030150890E+00
-12.388000E-03,-6.030150890E+00
-12.379600E-03,-6.030150890E+00
-12.371200E-03,-6.030150890E+00
-12.362800E-03,-6.030150890E+00
-12.354400E-03,-6.030150890E+00
-12.346000E-03,-5.402010173E+00
-12.337600E-03,-6.030150890E+00
-12.329200E-03,-5.402010173E+00
-12.320800E-03,-5.402010173E+00
-12.312400E-03,-4.020100594E+00
-12.304000E-03,-6.030150890E+00
-12.295600E-03,-6.030150890E+00
-12.287200E-03,-6.030150890E+00
-12.278800E-03,-6.030150890E+00
-12.270400E-03,-4.522613168E+00
-12.262000E-03,-6.030150890E+00
-12.253600E-03,-4.522613168E+00
-12.245200E-03,-6.030150890E+00
-12.236800E-03,-5.402010173E+00
-12.228400E-03,-4.522613168E+00
-12.220000E-03,-6.030150890E+00
-12.211600E-03,-6.030150890E+00
