second,Volt
-12.600000E-03,+6.030150890E+00
-12.591600E-03,+6.030150890E+00
-12.583200E-03,+6.030150890E+00
-12.574800E-03,+4.020100594E+00
-12.566400E-03,+6.030150890E+00
-12.558000E-03,+4.020100594E+00
-12.549600E-03,+4.020100594E+00
-12.541200E-03,+2.010050297E+00
-12.532800E-03,+2.010050297E+00
-12.524400E-03,+0.0E+00
-12.516000E-03,+0.0E+00
-12.507600E-03,-2.010050297E+00
-12.499200E-03,+0.0E+00
-12.490800E-03,-2.010050297E+00
-12.482400E-03,-2.010050297E+00
-12.474000E-03,-2.010050297E+00
-12.465600E-03,-4.020100594E+00
-12.457200E-03,-4.020100594E+00
-12.448800E-03,-4.020100594E+00
-12.440400E-03,-4.020100594E+00
-12.432000E-03,-4.020100594E+00
-12.423600E-03,-4.020100594E+00
-12.415200E-03,-6.030150890E+00
-12.406800E-03,-6.030150890E+00
-12.398400E-03,-6.030150890E+00
-12.390000E-03,-6.030150890E+00
-12.381600E-03,-6.030150890E+00
-12.373200E-03,-6.030150890E+00
-12.364800E-03,-6.030150890E+00
-12.356400E-03,-6.030150890E+00
-12.348000E-03,-6.030150890E+00
-12.339600E-03,-6.030150890E+00
-12.331200E-03,-6.030150890E+00
-12.322800E-03,-6.030150890E+00
-12.314400E-03,-6.030150890E+00
-12.306000E-03,-6.030150890E+00
-12.297600E-03,-6.030150890E+00
-12.289200E-03,-6.030150890E+00
-12.280800E-03,-6.030150890E+00
-12.272400E-03,-6.030150890E+00
-12.264000E-03,-6.030150890E+00
-12.255600E-03,-6.030150890E+00
-12.247200E-03,-6.030150890E+00
-12.238800E-03,-6.030150890E+00
-12.230400E-03,-6.030150890E+00
-12.222000E-03,-6.030150890E+00
-12.213600E-03,-6.030150890E+00
-12.205200E-03,-6.030150890E+00
-12.196800E-03,-6.030150890E+00
-12.188400E-03,-6.030150890E+00
-12.180000E-03,-6.030150890E+00
-12.171600E-03,-6.030150890E+00
-12.163200E-03,-6.030150890E+00
-12.154800E-03,-6.030150890E+00
-12.146400E-03,-6.030150890E+00
-12.138000E-03,-6.030150890E+00
-12.129600E-03,-6.030150890E+00
-12.121200E-03,-6.030150890E+00
-12.112800E-03,-6.030150890E+00
-12.104400E-03,-6.030150890E+00
-12.096000E-03,-6.030150890E+00
-12.087600E-03,-6.030150890E+00
-12.079200E-03,-6.030150890E+00
-12.070800E-03,-6.030150890E+00
-12.062400E-03,-6.030150890E+00
-12.054000E-03,-6.030150890E+00
-12.045600E-03,-5.904522747E+00
-12.037200E-03,-6.030150890E+00
-12.028800E-03,-6.030150890E+00
-12.020400E-03,-4.020100594E+00
-12.012000E-03,-6.030150890E+00
-12.003600E-03,-6.030150890E+00
-11.995200E-03,-6.030150890E+00
-11.986800E-03,-6.030150890E+00
-11.978400E-03,-6.030150890E+00
-11.970000E-03,-6.030150890E+00
-11.961600E-03,-6.030150890E+00
-11.953200E-03,-6.030150890E+00
-11.944800E-03,-6.030150890E+00
-11.936400E-03,-6.030150890E+00
-11.928000E-03,-6.030150890E+00
-11.919600E-03,-6.030150890E+00
-11.911200E-03,-6.030150890E+00
-11.902800E-03,-6.030150890E+00
-11.894400E-03,-6.030150890E+00
-11.886000E-03,-6.030150890E+00
-11.877600E-03,-6.030150890E+00
-11.869200E-03,-6.030150890E+00
-11.860800E-03,-6.030150890E+00
-11.852400E-03,-6.030150890E+00
-11.844000E-03,-6.030150890E+00
-11.835600E-03,-6.030150890E+00
-11.827200E-03,-6.030150890E+00
-11.818800E-03,-6.030150890E+00
-11.810400E-03,-6.030150890E+00
-11.802000E-03,-6.030150890E+00
-11.793600E-03,-6.030150890E+00
-11.785200E-03,-6.030150890E+00
-11.776800E-03,-6.030150890E+00
-11.768400E-03,-6.030150890E+00
-11.760000E-03,-6.030150890E+00
-11.751600E-03,-6.030150890E+00
-11.743200E-03,-6.030150890E+00
-11.734800E-03,-6.030150890E+00
-11.726400E-03,-6.030150890E+00
-11.718000E-03,-6.030150890E+00
-11.709600E-03,-6.030150890E+00
-11.701200E-03,-6.030150890E+00
-11.692800E-03,-6.030150890E+00
-11.684400E-03,-6.030150890E+00
-11.676000E-03,-6.030150890E+00
-11.667600E-03,-6.030150890E+00
-11.659200E-03,-6.030150890E+00
-11.650800E-03,-6.030150890E+00
-11.642400E-03,-6.030150890E+00
-11.634000E-03,-6.030150890E+00
-11.625600E-03,-6.030150890E+00
-11.617200E-03,-6.030150890E+00
-11.608800E-03,-6.030150890E+00
-11.600400E-03,-6.030150890E+00
-11.592000E-03,-6.030150890E+00
-11.583600E-03,-7.914573044E+00
-11.575200E-03,-6.030150890E+00
-11.566800E-03,-6.030150890E+00
-11.558400E-03,-6.030150890E+00
-11.550000E-03,-6.030150890E+00
-11.541600E-03,-6.030150890E+00
-11.533200E-03,-4.020100594E+00
-11.524800E-03,-6.030150890E+00
-11.516400E-03,-6.030150890E+00
-11.508000E-03,-6.030150890E+00
-11.499600E-03,-6.030150890E+00
-11.491200E-03,-6.030150890E+00
-11.482800E-03,-6.030150890E+00
-11.474400E-03,-5.904522747E+00
-11.466000E-03,-6.030150890E+00
-11.457600E-03,-6.030150890E+00
-11.449200E-03,-6.030150890E+00
-11.440800E-03,-6.030150890E+00
-11.432400E-03,-6.030150890E+00
-11.424000E-03,-6.030150890E+00
-11.415600E-03,-6.030150890E+00
-11.407200E-03,-6.030150890E+00
-11.398800E-03,-6.030150890E+00
-11.390400E-03,-6.030150890E+00
-11.382000E-03,-6.030150890E+00
-11.373600E-03,-6.030150890E+00
-11.365200E-03,-6.030150890E+00
-11.356800E-03,-6.030150890E+00
-11.348400E-03,-6.030150890E+00
-11.340000E-03,-6.030150890E+00
-11.331600E-03,-6.030150890E+00
-11.323200E-03,-6.030150890E+00
-11.314800E-03,-6.030150890E+00
-11.306400E-03,-6.030150890E+00
-11.298000E-03,-6.030150890E+00
-11.289600E-03,-6.030150890E+00
-11.281200E-03,-6.030150890E+00
-11.272800E-03,-6.030150890E+00
-11.264400E-03,-6.030150890E+00
-11.256000E-03,-6.030150890E+00
-11.247600E-03,-6.030150890E+00
-11.239200E-03,-6.030150890E+00
-11.230800E-03,-6.030150890E+00
-11.222400E-03,-6.030150890E+00
-11.214000E-03,-6.030150890E+00
-11.205600E-03,-6.030150890E+00
-11.197200E-03,-6.030150890E+00
-11.188800E-03,-6.030150890E+00
-11.180400E-03,-6.030150890E+00
-11.172000E-03,-6.030150890E+00
-11.163600E-03,-6.030150890E+00
-11.155200E-03,-6.030150890E+00
-11.146800E-03,-6.030150890E+00
-11.138400E-03,-6.030150890E+00
-11.130000E-03,-6.030150890E+00
-11.121600E-03,-6.030150890E+00
-11.113200E-03,-6.030150890E+00
-11.104800E-03,-6.030150890E+00
-11.096400E-03,-6.030150890E+00
-11.088000E-03,-6.030150890E+00
-11.079600E-03,-6.030150890E+00
-11.071200E-03,-6.030150890E+00
-11.062800E-03,-6.030150890E+00
-11.054400E-03,-6.030150890E+00
-11.046000E-03,-6.030150890E+00
-11.037600E-03,-6.030150890E+00
-11.029200E-03,-6.030150890E+00
-11.020800E-03,-6.030150890E+00
-11.012400E-03,-6.030150890E+00
-11.004000E-03,-6.030150890E+00
-10.995600E-03,-6.030150890E+00
-10.987200E-03,-6.030150890E+00
-10.978800E-03,-6.030150890E+00
-10.970400E-03,-6.030150890E+00
-10.962000E-03,-5.904522747E+00
-10.953600E-03,-6.030150890E+00
-10.945200E-03,-6.030150890E+00
-10.936800E-03,-6.030150890E+00
-10.928400E-03,-6.030150890E+00
-10.920000E-03,-6.030150890E+00
-10.911600E-03,-6.030150890E+00
-10.903200E-03,-6.030150890E+00
-10.894800E-03,-6.030150890E+00
-10.886400E-03,-6.030150890E+00
-10.878000E-03,-6.030150890E+00
-10.869600E-03,-4.020100594E+00
