Ib,Ic,Vc,temp,Pc,Pl,ef
0.0014,0.138,0.2,冷たい,0.027600000000000003,4.9404,0.9944444444444446
0.0012,0.133,2.54,冷たい,0.33782,4.4501800000000005,0.9294444444444445
0.001,0.1179,10,暖かい,1.179,3.0654000000000003,0.7222222222222222
0.0008,0.10300000000000001,16.9,暖かい,1.7407,1.9673000000000003,0.5305555555555556
0.0006,0.084,24.2,暖かい,2.0328,0.9912000000000001,0.3277777777777778
0.0004,0.0559,31.8,暖かい,1.77762,0.23477999999999996,0.11666666666666665
0.0002,0.028800000000000003,34.3,暖かい,0.98784,0.04896000000000009,0.0472222222222223
0.0,0,35.8,暖かい,0.0,0.0,NaN
