i,v_diff,v_mean,ripple
0.227,19.2,11.8,1.6271186440677965
0.2052,19.1,11.85,1.6118143459915613
0.1825,19.5,12.0,1.625
0.1699,19.5,12.0,1.625
0.1468,19.6,12.05,1.6265560165975104
0.1228,19.8,12.1,1.6363636363636365
0.0989,19.8,12.2,1.6229508196721314
0.0742,19.9,12.21,1.6298116298116296
0.0502,19.9,12.25,1.6244897959183673
0.0258,20,12.5,1.6
0,20,12.6,1.5873015873015874
