Ei,Eo,Vz
10,6.82,5.49
11,7.8,5.53
12,8.5,5.55
13,9.54,5.57
14,9.5,5.58
15,9.55,5.59
16,9.6,5.6
17,9.62,5.6
18,9.64,5.61
