i,v_diff,v_mean,ripple
0,0.3,19.7,0.015228426395939087
0.0358,5.2,17.2,0.3023255813953489
0.065,8.4,15.8,0.5316455696202531
0.09,10.4,14.8,0.7027027027027027
0.1138,11.6,14.1,0.8226950354609929
0.1264,12.8,13.55,0.9446494464944649
0.18230000000000002,14,12.9,1.0852713178294573
0.19380000000000003,14.2,12.8,1.1093749999999998
0.215,14.6,12.58,1.1605723370429253
0.2379,15,12.42,1.2077294685990339
