Io,Vo,ripple,ripple_ratio
0.002,9.72,0.024,0.24691358024691357
0.022,9.7,0.056,0.577319587628866
0.042,9.69,0.088,0.9081527347781218
0.06,9.65,0.12,1.2435233160621761
0.08,9.62,0.165,1.7151767151767152
0.098,9.6,0.23500000000000001,2.447916666666667
0.12,9.51,0.92,9.674027339642482
0.14,9.34,1.9000000000000001,20.342612419700217
0.158,9.13,2.6,28.477546549835704
0.18,8.82,3.3000000000000003,37.41496598639456
0.2,8.65,4.0,46.24277456647399
