Ia,Ig,Vak
0.137,0.018000000000000002,0.95
0.137,0.016,0.95
0.137,0.014,0.95
0.137,0.012,0.95
0.137,0.01,0.95
0.137,0.008,0.95
0.137,0.006,0.95
0.137,0.004,0.95
0.137,0.002,0.95
0.137,0.0,0.95
