Ei,Eo,Vz
10,8.23,5.54
11,9.2,5.56
12,9.4,5.57
13,9.5,5.58
14,9.52,5.59
15,9.58,5.59
16,9.6,5.6
17,9.61,5.6
18,9.65,5.61
