i,v
-0.129,0.76
-0.12980000000000003,0.91
-0.1168,1.27
-0.1056,1.332
-0.0953,1.369
-0.07690000000000001,1.427
-0.06490000000000001,1.449
-0.0564,1.463
-0.0423,1.481
-0.0335,1.492
-0.0207,1.504
