i,v
-0.00023,-0.165
-9.6e-05,-0.123
-8.0e-07,-0.105
8.0e-07,0.0008
3.3e-05,0.0346
7.3e-05,0.07529999999999999
0.00014,0.142
0.000439,0.35
0.000743,0.458
0.00115,0.538
0.0017,0.614
0.0029,0.709
0.0033,0.734
0.0039,0.774
0.0044,0.802
0.005900000000000001,0.874
0.0068,0.911
0.009000000000000001,0.991
