i,v
-0.0024,0.24
-0.0021000000000000003,0.254
-0.0017,0.272
-0.0014,0.286
-0.0011,0.299
-0.0008,0.312
-0.0006,0.32
-0.0004,0.329
-0.00029,0.334
0,0.35
